episode_id,policy_freq,profile,method,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,lane_3_time,speed_violation_count,tailgating_violation_count,braking_violation_count,lane_keeping_violation_count,lane_change_tailgating_violation_count,lane_change_braking_violation_count,collision_violation_count,lane_change_collision_violation_count,total_cost,total_avoided_cost,total_reward,unsafe_frames,unsafe_slow_count,unsafe_lane_left_count,unsafe_lane_right_count,unsafe_faster_count,unsafe_idle_count,unsafe_ttc_frames,unsafe_ttc_slow_count,unsafe_ttc_lane_left_count,unsafe_ttc_lane_right_count,unsafe_ttc_faster_count,unsafe_ttc_idle_count,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_scps_augmented_count,outcome_projection_count
91,1,cautious,nop,nan,30,0,29.632315707564615,2.0,13.0,6.0,9.0,29,1,2,16,1,0,0,0,49.0,0.0,11.558778849077532,2,0,1,0,1,0,6,1,2,1,2,0,nan,0.0,0,0,0,0
92,1,cautious,nop,nan,11,1,29.451768179057538,9.0,2.0,0.0,0.0,10,1,4,11,0,1,1,0,27.0,0.0,3.1587779987853164,3,1,2,0,0,0,5,1,2,0,2,0,nan,0.0,0,0,0,0
93,1,cautious,nop,nan,30,0,29.798981664924852,0.0,3.0,9.0,18.0,30,0,6,3,1,0,0,0,40.0,0.0,11.758777997909814,3,0,3,0,0,0,13,0,3,4,4,2,nan,0.0,0,0,0,0
94,1,cautious,nop,nan,13,1,29.536111534491145,0.0,8.0,3.0,2.0,13,1,4,8,1,2,1,0,29.0,0.0,3.9587779979353943,3,0,1,2,0,0,6,0,1,3,1,1,nan,0.0,0,0,0,0
95,1,cautious,nop,nan,12,1,29.49745416262383,4.0,8.0,0.0,0.0,12,1,2,12,1,0,0,0,28.0,0.0,3.558777998059438,2,0,1,1,0,0,4,0,3,1,0,0,nan,0.0,0,0,0,0
96,1,cautious,nop,nan,30,0,29.798981664924852,17.0,6.0,7.0,0.0,30,0,2,23,1,1,0,0,57.0,0.0,11.758777997909814,1,0,1,0,0,0,5,0,4,1,0,0,nan,0.0,0,0,0,0
97,1,cautious,nop,nan,30,0,29.798981664924852,2.0,10.0,3.0,15.0,30,0,2,12,0,0,0,0,44.0,0.0,11.758777997909814,3,0,2,1,0,0,6,0,3,2,0,1,nan,0.0,0,0,0,0
98,1,cautious,nop,nan,15,1,28.93162950879987,0.0,0.0,11.0,4.0,13,1,4,0,0,0,1,0,18.0,0.0,4.35897770527992,2,0,0,1,1,0,6,1,0,2,2,1,nan,0.0,0,0,0,0
99,1,cautious,nop,nan,30,0,29.798981664924852,7.0,12.0,7.0,4.0,30,0,4,19,3,2,0,1,58.0,0.0,11.758777997909814,3,0,1,2,0,0,12,0,3,6,1,2,nan,0.0,0,0,0,0
100,1,cautious,nop,nan,27,1,29.776646294360948,12.0,5.0,3.0,7.0,26,2,6,17,1,1,1,0,53.0,0.0,9.558777997909818,5,1,0,2,2,0,11,1,3,3,3,1,nan,0.0,0,0,0,0
101,1,cautious,nop,nan,20,1,29.69847249738728,10.0,3.0,7.0,0.0,19,1,4,13,0,1,1,0,38.0,0.0,6.758777997909828,3,1,0,1,1,0,7,1,1,2,2,1,nan,0.0,0,0,0,0
102,1,cautious,nop,nan,19,1,29.682602628828715,7.0,6.0,6.0,0.0,19,1,3,14,0,0,0,0,37.0,0.0,6.3587779979098284,3,0,2,1,0,0,5,0,2,1,0,2,nan,0.0,0,0,0,0
