episode_id,policy_freq,profile,method,filter,value,episode_length,collision,mean_speed,lane_0_time,lane_1_time,lane_2_time,total_cost,total_avoided_cost,total_reward,total_basic_reward,total_added_reward,mean_iterations_to_converge,convergence_rate,outcome_unchanged_count,outcome_naively_augmented_count,outcome_rcps_augmented_count,outcome_projection_count
112,1,right_lane,adaptive,True,3.1623,40,0,22.64395734596713,1.0,4.0,35.0,2.0,8.0,63.027703176749,44.027703176749,19.0,18.0,0.075,0,0,3,37
113,1,right_lane,adaptive,True,3.1623,40,0,21.893957345971565,0.0,1.0,39.0,0.0,13.0,62.829396514725126,42.829396514725126,20.0,nan,0.0,0,0,0,40
114,1,right_lane,adaptive,True,3.1623,40,0,20.518957345971565,0.0,1.0,39.0,0.0,11.0,60.629397667739944,40.629397667739944,20.0,nan,0.0,0,0,0,40
115,1,right_lane,adaptive,True,3.1623,40,0,21.768957345971565,1.0,1.0,38.0,0.5,5.0,62.37839910886089,42.6283991088609,19.75,nan,0.0,0,0,0,40
116,1,right_lane,adaptive,True,3.1623,34,1,20.31642040702537,0.0,1.0,33.0,1.0,13.5,50.9803317535545,34.2303317535545,16.75,18.0,0.029411764705882353,0,0,1,33
117,1,right_lane,adaptive,True,3.1623,40,0,22.143957345971494,1.0,1.0,38.0,0.5,7.5,62.228397176503144,42.72839717650314,19.5,nan,0.0,0,0,0,40
118,1,right_lane,adaptive,True,3.1623,9,1,21.19536592423284,0.0,1.0,8.0,0.5,4.5,13.729396493871175,9.229396493871175,4.5,nan,0.0,0,0,0,9
119,1,right_lane,adaptive,True,3.1623,40,0,22.018957345971565,0.0,0.0,40.0,0.0,10.5,62.2803317535545,42.530331753554506,19.75,nan,0.0,0,0,0,40
120,1,right_lane,adaptive,True,3.1623,40,0,22.268957345971565,0.0,0.0,40.0,0.0,1.0,63.430331753554505,43.43033175355449,20.0,nan,0.0,0,0,0,40
121,1,right_lane,adaptive,True,3.1623,40,0,21.768957345971565,1.0,1.0,38.0,0.5,4.5,62.3783991088609,42.6283991088609,19.75,nan,0.0,0,0,0,40
122,1,right_lane,adaptive,True,3.1623,40,0,21.268957345971565,0.0,0.0,40.0,0.0,0.0,61.8303317535545,41.830331753554496,20.0,nan,0.0,0,0,0,40
123,1,right_lane,adaptive,True,3.1623,40,0,20.393957345971565,1.0,1.0,38.0,0.5,18.0,60.17839717648496,40.42839717648496,19.75,nan,0.0,0,0,0,40
124,1,right_lane,adaptive,True,3.1623,17,1,22.691664338907657,1.0,1.0,15.0,1.0,5.5,26.87839717340596,18.628397173405965,8.25,nan,0.0,0,0,0,17
